Name,Title,Company name,Link,Gender
Thorsten Unger,CEO& Investor,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Guido Boogaard,CEO& Investor,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Hermann Kudlich,Advisor,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Marvin van Kalsbeek,Co-Founder,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Hayo Wagenaar,Co-Founder,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Jan Willem Huisman,Former,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Richard Lustemberg,Co-Founder,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Dries Verbruggen,Co-Founder,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Milagros Aleman,Unknown,IJsfontein,https://app.dealroom.co/companies/uptrek,female
Sjors van Hedel,Unknown,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Don Blaauw,Unknown,IJsfontein,https://app.dealroom.co/companies/uptrek,male
Kiril Ivanov,Co-Founder,Bright Union,https://app.dealroom.co/companies/bright_union,male
chris,Co-Founder,Bright Union,https://app.dealroom.co/companies/bright_union,female
Wouter Klaase,Co-Founder,Welectric,https://app.dealroom.co/companies/welectric_,male
Ivo Brandsma,Co-Founder,Welectric,https://app.dealroom.co/companies/welectric_,male
Toni Lufi,CEO& Co-Founder,NearOnes,https://app.dealroom.co/companies/nearones_b_v_,female
Yvonne Greeuw,CEO& Co-Founder,NearOnes,https://app.dealroom.co/companies/nearones_b_v_,female
Joep Annega,Founder,Uni-Life,https://app.dealroom.co/companies/uni_life,male
Thomas Smulders,Founder,Uni-Life,https://app.dealroom.co/companies/uni_life,male
Joep Annega,Co-Founder& COO,Uni-Life,https://app.dealroom.co/companies/uni_life,male
Elise Mol,Co-Founder,Ikbenfrits,https://app.dealroom.co/companies/ikbenfrits,female
Joost Schulze,Co-Founder,Ikbenfrits,https://app.dealroom.co/companies/ikbenfrits,male
Thomas de Leeuw,Former,Ikbenfrits,https://app.dealroom.co/companies/ikbenfrits,male
Michiel Lensink,Co-Founder,Ikbenfrits,https://app.dealroom.co/companies/ikbenfrits,male
Hans De Back,Co-Founder,Ikbenfrits,https://app.dealroom.co/companies/ikbenfrits,male
Nina Meiling,Assistant,Ikbenfrits,https://app.dealroom.co/companies/ikbenfrits,female
Michiel,Co-Founder,Ikbenfrits,https://app.dealroom.co/companies/ikbenfrits,female
Linda Bouma,Co-Founder,Ikbenfrits,https://app.dealroom.co/companies/ikbenfrits,female
Niek Veendrick,Co-Founder,Ikbenfrits,https://app.dealroom.co/companies/ikbenfrits,male
Amrita Ramsaransing,Co-Founder,Brxs,https://app.dealroom.co/companies/brxs,female
Tai Chesselet,Founder,PrivIQ,https://app.dealroom.co/companies/gdpr_365,male
Galit Bauer,Co-Founder& COO,Holiday Sitters,https://app.dealroom.co/companies/holiday_sitters,female
Ela Slutski,Co-Founder& COO,Holiday Sitters,https://app.dealroom.co/companies/holiday_sitters,female
Ela Slutski,Former,Holiday Sitters,https://app.dealroom.co/companies/holiday_sitters,female
Andrey Kulikov,Co-Founder,Social Links,https://app.dealroom.co/companies/social_links,male
Mark Raasveldt,CTO& Co-Founder,DuckDB Labs,https://app.dealroom.co/companies/duckdb_labs,male
Hannes Mühleisen,CTO& Co-Founder,DuckDB Labs,https://app.dealroom.co/companies/duckdb_labs,male
Jurriaan Vollebregt,Founder,floepp,https://app.dealroom.co/companies/floepp,male
Peter Bontenbal,Founder,floepp,https://app.dealroom.co/companies/floepp,male
Todd Terrazas,Founder,City.AI,https://app.dealroom.co/companies/city_ai,male
Lesly Zerna,Founder,City.AI,https://app.dealroom.co/companies/city_ai,female
Jovan Stojanovic,Advisor,City.AI,https://app.dealroom.co/companies/city_ai,male
Felipe Contreras,Unknown,City.AI,https://app.dealroom.co/companies/city_ai,male
Daniel Hulme,Unknown,City.AI,https://app.dealroom.co/companies/city_ai,male
Mike Reiner,Unknown,City.AI,https://app.dealroom.co/companies/city_ai,male
Dominik Blattner,CEO& Co-Founder,City.AI,https://app.dealroom.co/companies/city_ai,male
Christoph Auer-Welsbach,CEO& Co-Founder,City.AI,https://app.dealroom.co/companies/city_ai,male
Raphael Danilo,Founder,City.AI,https://app.dealroom.co/companies/city_ai,male
Simona Nickmanova,Co-Founder,City.AI,https://app.dealroom.co/companies/city_ai,female
Filipe Forattini,Co-Founder,City.AI,https://app.dealroom.co/companies/city_ai,male
Timothée Manschot,Founder,NoWatch,https://app.dealroom.co/companies/nowatch,male
Hylke Muntinga,Founder,NoWatch,https://app.dealroom.co/companies/nowatch,male
Michiel Koning,Board Member,NoWatch,https://app.dealroom.co/companies/nowatch,male
Chris van Voorden,CEO& Founder,NoWatch,https://app.dealroom.co/companies/nowatch,male
Arun Thampi,CEO& Co-Founder,WeGo,https://app.dealroom.co/companies/wego_1,male
Chris Bailey,CEO& Co-Founder,WeGo,https://app.dealroom.co/companies/wego_1,male
Peter De Jong,Developer,WeGo,https://app.dealroom.co/companies/wego_1,male
Dean Wicks,CTO& Co-Founder,WeGo,https://app.dealroom.co/companies/wego_1,male
Matthew Varley,CTO& Co-Founder,WeGo,https://app.dealroom.co/companies/wego_1,male
Miron Perel,CEO,WeGo,https://app.dealroom.co/companies/wego_1,male
Joachim Holte,Managing Director,WeGo,https://app.dealroom.co/companies/wego_1,male
Graham Hills,Managing Director,WeGo,https://app.dealroom.co/companies/wego_1,male
Jackson Fernandes,Former Business Development,WeGo,https://app.dealroom.co/companies/wego_1,male
Cheah Chu Yeow,Chief Flights Officer,WeGo,https://app.dealroom.co/companies/wego_1,male
Bo Wesdorp,Co-Founder,Trickle,https://app.dealroom.co/companies/trickle_work,male
Dale Wesdorp,Co-Founder,Trickle,https://app.dealroom.co/companies/trickle_work,male
Nadal Alyafaie,Former Co-Founder,Trickle,https://app.dealroom.co/companies/trickle_work,male
Nica Renoult,Founder,Trickle,https://app.dealroom.co/companies/trickle_work,female
Roos Aduagyei,Founder,Trickle,https://app.dealroom.co/companies/trickle_work,female
Alex Vrees,Co-Founder,Rodeo,https://app.dealroom.co/companies/rodeo,male
Marc van Neerven,Co-Founder,Rodeo,https://app.dealroom.co/companies/rodeo,male
Pieter Vos,Former,Rodeo,https://app.dealroom.co/companies/rodeo,male
Alexander,CTO,Rodeo,https://app.dealroom.co/companies/rodeo,female
Maarten Moen,Managing Director& Founder,ComplianceWise,https://app.dealroom.co/companies/compliancewise,male
Michiel van der Steeg,Managing Director& Founder,ComplianceWise,https://app.dealroom.co/companies/compliancewise,male
Maarten Moen,Former,ComplianceWise,https://app.dealroom.co/companies/compliancewise,male
Roman Lukaschuk,Founder,ComplianceWise,https://app.dealroom.co/companies/compliancewise,male
Christiaan Dappers,Founder,ComplianceWise,https://app.dealroom.co/companies/compliancewise,male
Andrew Appleby,Founder,Syllucid,https://app.dealroom.co/companies/syllucid_b_v_,male
