Link,Company name,Industries,Funding,Founders data
https://app.dealroom.co/companies/uptrek,IJsfontein,"['gaming', 'education']",Unknown,"[{'name': 'Thorsten Unger', 'title': 'CEO& Investor'}, {'name': 'Guido Boogaard', 'title': 'CEO& Investor'}, {'name': 'Hermann Kudlich', 'title': 'Advisor'}, {'name': 'Marvin van Kalsbeek', 'title': 'Co-Founder'}, {'name': 'Hayo Wagenaar', 'title': 'Co-Founder'}, {'name': 'Jan Willem Huisman', 'title': 'Former'}, {'name': 'Richard Lustemberg', 'title': 'Co-Founder'}, {'name': 'Dries Verbruggen', 'title': 'Co-Founder'}, {'name': 'Milagros Aleman', 'title': 'Unknown'}, {'name': 'Sjors van Hedel', 'title': 'Unknown'}, {'name': 'Don Blaauw', 'title': 'Unknown'}]"
https://app.dealroom.co/companies/sila_health,Sila Health,['health'],Unknown,[]
https://app.dealroom.co/companies/idea_synergy,Idea Synergy,"['media', 'enterprise software']",Unknown,[]
https://app.dealroom.co/companies/bit4coin_bv,B4C Markets,['fintech'],Unknown,[]
https://app.dealroom.co/companies/bright_union,Bright Union,['fintech'],Unknown,"[{'name': 'Kiril Ivanov', 'title': 'Co-Founder'}, {'name': 'chris', 'title': 'Co-Founder'}]"
https://app.dealroom.co/companies/welectric_,Welectric,['transportation'],['$550k'],"[{'name': 'Wouter Klaase', 'title': 'Co-Founder'}, {'name': 'Ivo Brandsma', 'title': 'Co-Founder'}]"
https://app.dealroom.co/companies/nearones_b_v_,NearOnes,['home living'],Unknown,"[{'name': 'Toni Lufi', 'title': 'CEO& Co-Founder'}, {'name': 'Yvonne Greeuw', 'title': 'CEO& Co-Founder'}]"
https://app.dealroom.co/companies/uni_life,Uni-Life,"['education', 'marketing']",['$719k'],"[{'name': 'Joep Annega', 'title': 'Founder'}, {'name': 'Thomas Smulders', 'title': 'Founder'}, {'name': 'Joep Annega', 'title': 'Co-Founder& COO'}]"
https://app.dealroom.co/companies/ikbenfrits,Ikbenfrits,"['fintech', 'real estate']",['$2.2m'],"[{'name': 'Elise Mol', 'title': 'Co-Founder'}, {'name': 'Joost Schulze', 'title': 'Co-Founder'}, {'name': 'Thomas de Leeuw', 'title': 'Former'}, {'name': 'Michiel Lensink', 'title': 'Co-Founder'}, {'name': 'Hans De Back', 'title': 'Co-Founder'}, {'name': 'Nina Meiling', 'title': 'Assistant'}, {'name': 'Michiel', 'title': 'Co-Founder'}, {'name': 'Linda Bouma', 'title': 'Co-Founder'}, {'name': 'Niek Veendrick', 'title': 'Co-Founder'}]"
https://app.dealroom.co/companies/brxs,Brxs,"['fintech', 'real estate']",['$3.3m'],"[{'name': 'Amrita Ramsaransing', 'title': 'Co-Founder'}]"
