Company Name,Industries,Launch Year,Valuation,Funding,Employees,Ownership,Founders
SmartAvatar,['enterprise software'],2019,Unknown,Unknown,4,bootstrapped,"[{'name': 'Neeli Rashmi Prasad', 'title': 'CTO& Founder'}, {'name': 'Neeli Prasad', 'title': 'CTO& Founder'}]"
Reef Base,['enterprise software'],2019,Unknown,Unknown,1,bootstrapped,"[{'name': 'Arjen-Pieter Troost', 'title': 'Founder'}]"
Vamp Up,"['marketing', 'enterprise software']",2020,Unknown,Unknown,1,bootstrapped,"[{'name': 'Begad Adel', 'title': 'CEO& Co-Founder'}, {'name': 'Begad', 'title': 'CEO& Co-Founder'}]"
ApyHub,['enterprise software'],2022,Unknown,Unknown,14,bootstrapped,"[{'name': 'Nikolas Dimitroulakis', 'title': 'Co-Founder'}, {'name': 'Samuel Kaluvuri', 'title': 'Co-Founder'}, {'name': 'Sukhbir S. Jasuja', 'title': 'Unknown'}]"
Cycle Care,"['wellness beauty', 'media']",2019,Unknown,Unknown,5,bootstrapped,"[{'name': 'Jo-Ann Dietz', 'title': 'Co-Founder'}, {'name': 'Annemieke Jordans', 'title': 'Co-Founder'}]"
NoWatch,['fashion'],2020,$35—52m,['$8.7m'],33,angel,"[{'name': 'Timothée Manschot', 'title': 'Founder'}, {'name': 'Hylke Muntinga', 'title': 'Founder'}, {'name': 'Michiel Koning', 'title': 'Board Member'}, {'name': 'Chris van Voorden', 'title': 'CEO& Founder'}, {'name': 'Chris Van Voorden', 'title': 'CEO& Founder'}]"
RespiQ,"['health', 'food']",2019,$484—726k,['$4.5m'],6,venture capital,"[{'name': 'Vitalii Vorkov, PhD', 'title': 'CTO& Co-Founder'}, {'name': 'Mira Gleisberg', 'title': 'CTO& Co-Founder'}, {'name': 'Philip Siberg', 'title': 'Unknown'}]"
Sunrise AI,"['health', 'food']",2022,$11m,['$110k'],9,Unknown,"[{'name': 'Ryan Janecek', 'title': 'Co-Founder& COO'}, {'name': 'Ruben', 'title': 'Co-Founder& COO'}, {'name': 'Andrés O', 'title': 'CEO& Founder'}]"
Growth Tribe,"['education', 'marketing']",2015,$11—17m,['$11.6m'],103,venture capital,[]
SuperSeton,['health'],2016,Unknown,['$253k'],5,venture capital,"[{'name': 'Ernst Elhorst', 'title': 'CEO& Co-Founder'}, {'name': 'Willem Nerkens', 'title': 'CEO& Co-Founder'}]"
