Name,Title,Company Name,Gender
Neeli Rashmi Prasad,CTO& Founder,SmartAvatar,female
Neeli Prasad,CTO& Founder,SmartAvatar,female
Arjen-Pieter Troost,Founder,Reef Base,
Begad Adel,CEO& Co-Founder,Vamp Up,male
Begad,CEO& Co-Founder,Vamp Up,female
Nikolas Dimitroulakis,Co-Founder,ApyHub,male
Samuel Kaluvuri,Co-Founder,ApyHub,male
Sukhbir S. Jasuja,Unknown,ApyHub,male
Jo-Ann Dietz,Co-Founder,Cycle Care,female
Annemieke Jordans,Co-Founder,Cycle Care,female
Timothée Manschot,Founder,NoWatch,male
Hylke Muntinga,Founder,NoWatch,male
Michiel Koning,Board Member,NoWatch,male
Chris van Voorden,CEO& Founder,NoWatch,male
Chris Van Voorden,CEO& Founder,NoWatch,male
"Vitalii Vorkov, PhD",CTO& Co-Founder,RespiQ,male
Mira Gleisberg,CTO& Co-Founder,RespiQ,female
Philip Siberg,Unknown,RespiQ,male
Ryan Janecek,Co-Founder& COO,Sunrise AI,male
Ruben,Co-Founder& COO,Sunrise AI,female
Andrés O,CEO& Founder,Sunrise AI,male
Ernst Elhorst,CEO& Co-Founder,SuperSeton,male
Willem Nerkens,CEO& Co-Founder,SuperSeton,male
Paul de Kuyper,CEO& Founder,Gigstarter,male
Erik De Kuyper,CEO& Founder,Gigstarter,male
Mark Teisman,CEO,Gigstarter,male
Tom van der Velpen,Co-Founder& Business Development Manager,Gigstarter,male
Mark Teisman,Co-Founder& Business Development Manager,Gigstarter,male
Wouter Ruoff,Non Executive Director,Gigstarter,male
Julio Pijnappel,CTO,Gigstarter,male
Paul de Kuyper,CTO,Gigstarter,male
Michael Overzier,Co-Founder,MakaMatch,male
Dylan Alling,Co-Founder,MakaMatch,male
Perry Borst,Unknown,MakaMatch,male
Jasper Kuipers,Unknown,MakaMatch,male
Danielle Charles-Mackowski,Former Co-Founder& COO,MakaMatch,female
Martijn van Hoek,Co-Founder,Smart.pr,male
Tim Molendijk,Co-Founder,Smart.pr,male
Stef Gallé,Partner,Smart.pr,male
Aquiles Carattino,Unknown,Uetke,male
Sergei Denisuk,Co-Founder,Cårporate,male
Roman Sokolov,Co-Founder,Cårporate,male
Sascha Glasl,Director& Co-Founder,Space&Matter,male
Linda Hogeweg,Director& Co-Founder,Space&Matter,female
Gregory Miller,Board Member& CEO,Securify,male
Cengiz Sahin,Board Member& CEO,Securify,male
Buck French,Co-Founder & Chief Development Officer,Securify,male
