Jerome Ibanez,Chief Executive Officer,"Jerome is one of the Co-Founders and CEO at RefundMe. Originally from the Philippines, he is in charge of business development, partnerships, finance, and marketing. Highly analytical, motivated, and entrepreneurial, he previously worked as a Data Scientist at mClinica (backed by 500 Startups) and as a UX Consultant at On-Off Group (Asia's leading UX firm). He also started MetroPlate, a food delivery startup that he launched in the Philippines at age 19. Jerome has a Master in Management from IE Business School and a Bachelor's Degree in Computer Science from De La Salle University."
Robert Hoevers,CEO,"Robert Hoevers MSc, former GM at A1GP Netherlands and one of the initiators of the FIA Formula E. Robert initiated team China Racing which was later sold to NIO. He was one of the early employees at the Lightyear Solar Car project and was responsible for commerce, business development and government relations. Robert was the creator of the multi million Euro partnership with LeasePlan and the tax exemption for Solar cars in the Dutch climate accord. At Squad Mobility, next to general operations as CEO, Robert is responsible for sales & marketing."
Chris Klok,Chief of Design,"Chris Klok MSc MTD has a broad experience in developing mobility products, from two- to four-wheeled vehicles. He has developed advanced interior concepts for Renault, motorcycles for Piaggio and played an important role in the development of the PAL-V flying car, being responsible for systems integration and styling. Before starting Squad, Chris was the chief vehicle engineer at Lightyear, technically in charge of the complete engineering and prototyping team. At Squad Mobility, Chris is responsible for Research and Development."
Danielle Bosma,Designer & Branding,Danielle is our designer and branding queen.
Joshua van Londen,Founder & Developer,Joshua is a software architect and business developer. A Rotterdammer to the core with entrepreneurial blood flowing through his veins.
Humayun Tanwar,Developer & Devops,Humayun is the brain behind the logic of our application. He is responsible for the entire back-end of the applications.
Orpheo Bena,CEO/CTO,Serial entrepreneur who founded three tech startups. Sold first startup. Background has always been in data and tech. Worked for many years as a data- and innovation consultant.
Noud van den Eerenbeemt,Marketing & Sales,Founded two tech startups after helping to build the biggest independent media agency group in the Netherlands. Background has been in marketing and sales.
Jan Cassalette,Founder,Serial founder
Selina Tirtajana,"Co-founder, CEO",10+ yrs medical device & growth marketing
Gabriel Saenz,"Co-founder, CTO","10+ yrs data engineering, systems architecture"
Brian Doelkahar,"AI/ML, Data Science",20 years quantitative modeling at large financial institutions
Dr. Stanimira Kalaykova,Clinical Advisor,assistant professor of dentistry; expert on bruxism and dental sleep medicine
Erich Elsen,AI/ML Advisor,"AI/ML expert focusing on AI efficiency, use & deployment. Ex-Deepmind (Google AI)"
Dopple,Hardware development & manufacturing partner,20+ years in hearables development and manufacturing for global brands
