Gender,Industry,Ok
male,fintech,True
male,fintech,True
male,enterprise software,True
male,fintech,True
male,enterprise software,True
male,enterprise software,True
female,food,True
male,enterprise software,True
female,food,True
male,enterprise software,True
male,food,True
male,enterprise software,True
male,enterprise software,True
male,jobs recuritment,True
male,food,True
male,marketing,True
male,fintech,True
male,travel,True
male,fashion,True
male,food,True
female,health,True
male,food,True
male,health,True
male,food,True
female,marketing,True
female,health,True
male,fashion,True
female,food,True
female,jobs recuritment,True
male,music,True
male,travel,True
male,jobs recuritment,True
male,marketing,True
male,health,True
male,marketing,True
female,health,True
male,food,True
male,food,True
male,fintech,True
male,travel,True
male,travel,True
