Country Name,Country Code,Year,GDP per Capita,GDP,GNI,GNI per Capita,Foreign Investment,GINI Index,Unemployment Rate,Labor Force participation rate
Albania,ALB,2000,1126.68334010717,3480355258.04122,3585007221.82101,1100.0,143000000.0,,19.023,60.435
Albania,ALB,2001,1281.6598256178,3922100793.5403,4048094111.09564,1280.0,207300000.0,,18.57,59.888
Albania,ALB,2002,1425.12421860142,4348068242.19512,4457186384.03827,1370.0,135000000.0,31.7,17.891,59.61
Albania,ALB,2003,1846.12012081207,5611496257.14231,5762066193.23098,1650.0,178036400.666667,,16.985,58.557
Albania,ALB,2004,2373.58129170055,7184685781.51876,7353974652.91914,2100.0,341285112.537562,,16.306,57.496
Albania,ALB,2005,2673.78781583529,8052077248.14638,8214108577.31472,2620.0,262479012.637464,30.6,15.966,56.428
Albania,ALB,2006,2972.74362094736,8896075004.63516,9158294214.47949,3050.0,325138316.803697,,15.626,55.354
Albania,ALB,2007,3595.03829536404,10677324852.8822,10975296958.7017,3460.0,652275603.722803,,15.966,54.275
Albania,ALB,2008,4370.53971639449,12881352893.6855,12946373404.4206,4040.0,1247181714.30558,30.0,13.06,53.192
Albania,ALB,2009,4114.13403283023,12044205549.6571,11852736925.0939,4280.0,1345415233.65619,,13.674,54.993
Albania,ALB,2010,4094.34968570481,11926926615.8015,11807769437.1323,4360.0,1089898207.57431,,14.086,55.202
Albania,ALB,2011,4437.14116097061,12890760315.146,12894099798.9481,4410.0,1048706682.05458,,13.481,59.938
Albania,ALB,2012,4247.63134315945,12319834195.331,12228069196.1144,4360.0,917994575.801857,29.0,13.376,56.995
Albania,ALB,2013,4413.06338346821,12776224496.9718,12996543353.0861,4540.0,1254150555.51294,,15.866,52.418
Albania,ALB,2014,4578.63320812155,13228147516.1168,13349419700.4171,4540.0,1149927985.77736,34.6,18.055,53.42
Albania,ALB,2015,3952.80357364813,11386853113.0189,11521811393.6203,4390.0,989578334.828616,32.8,17.193,55.497
Albania,ALB,2016,4124.05538986272,11861199830.8396,12053832974.203,4320.0,1044389554.85795,33.7,15.418,57.314
Albania,ALB,2017,4531.03220675893,13019726211.7369,13051517643.6213,4290.0,1022757857.07377,33.1,13.616,58.057
Albania,ALB,2018,5365.48934672897,15379509891.7196,15361070727.3542,4880.0,1204383363.60476,30.1,12.304,59.296
Albania,ALB,2019,5460.42823730592,15585105131.0644,15383523591.8511,5280.0,1201022154.46643,30.1,11.466,60.306
Albania,ALB,2020,5370.77862312929,15241458744.8688,14991229141.5555,5320.0,1069744879.65453,29.4,11.69,57.78
Albania,ALB,2021,6413.28328605026,18032010563.7558,17780838454.9845,6150.0,1218586452.37158,,11.474,58.869
Albania,ALB,2022,6846.42614266044,19017242585.7803,18686023829.0718,6820.0,1441381891.41694,,10.137,60.421
Albania,ALB,2023,8575.17113446213,23547179830.4413,23246482646.2791,7680.0,1620982550.5431,,10.108,60.432
Andorra,AND,2000,21810.2487431414,1432606188.69324,,,,,,
Andorra,AND,2001,23511.2951475737,1548265808.05802,,,,,,
Andorra,AND,2002,26528.130158144,1764279824.29752,,,,,,
