country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024
Afghanistan,Asia,Southern Asia,null,null,6.49,8.2,9.23,1.9,2.84,3.63
Albania,Europe,Southern Europe,11.48,14.71,28.61,37.11,41.47,33.67,46.47,62.71
Algeria,Africa,Northern Africa,3.98,3.52,4.06,3.92,9.95,10.84,11.3,14.26
Andorra,Europe,Southern Europe,null,null,110.34,129.69,145.18,85.92,93.94,null
Angola,Africa,Middle Africa,null,12.76,13.74,14.77,15.04,12.84,15.96,18.58
Antigua and Barbuda,Latin America and the Caribbean,Caribbean,null,null,14.29,16.85,17.11,20.85,34.27,40.58
Argentina,Latin America and the Caribbean,South America,14.98,20.84,31.15,44.28,57.49,47.19,68.66,88.03
Armenia,Asia,Western Asia,24.61,21.01,24.06,30.49,37.21,36.27,44.96,56.54
Australia,Oceania,Australia and New Zealand,25.52,32.25,41.31,54.55,85.57,52.62,54.08,71.87
Austria,Europe,Western Europe,29.5,36.71,39.73,80.03,93.77,62.74,69.6,92.86
Azerbaijan,Asia,Western Asia,10.2,13.29,16.46,22.29,25.36,22.15,28.7,45.47
Bahamas,Latin America and the Caribbean,Caribbean,23.76,22.24,30.74,41.69,55.89,41.64,55,63.11
Bahrain,Asia,Western Asia,16.18,17,40.93,null,74.21,48.58,80.03,84.66
Bangladesh,Asia,Southern Asia,16.68,17.39,23.5,29.06,38.98,32.99,39.23,48.14
Barbados,Latin America and the Caribbean,Caribbean,45.02,72.24,84.2,95.36,110.25,81.29,94.66,99.09
Belarus,Europe,Eastern Europe,26.32,34.67,49.94,70.84,68.84,51.3,51.76,61.05
Belgium,Europe,Western Europe,53.95,59.35,70.04,95.9,121.81,83.63,91.35,100.82
Belize,Latin America and the Caribbean,Central America,7.62,12.44,29.56,37.39,41.45,40.65,43.13,44.74
Benin,Africa,Western Africa,null,null,8.05,10.24,16.81,14.77,24.31,22.48
Bermuda,Northern America,Northern America,18.39,null,null,null,null,null,null,null
Bhutan,Asia,Southern Asia,null,null,21.34,16.06,21.79,11.99,12.9,null
Bolivia,Latin America and the Caribbean,South America,5.07,7.29,12.48,18.47,27.06,22.6,26.23,42.45
Bosnia and Herzegovina,Europe,Southern Europe,18.6,20.47,25.16,34.43,43.1,22.98,24.47,30.74
Botswana,Africa,Southern Africa,null,7.29,8.37,8.81,10.35,6.97,8.26,8.53
Brazil,Latin America and the Caribbean,South America,17.26,24.89,42.47,66.73,108.88,94.36,126.89,170.42
Brunei,Asia,SouthEastern Asia,14.72,17.27,20.51,null,33.94,41.79,49.52,77.75
Bulgaria,Europe,Eastern Europe,43.11,43.26,null,60.83,79.19,57.23,67.47,77.6
Burkina Faso,Africa,Western Africa,null,null,7.11,11.05,25.52,40.01,42.8,45.8
Burundi,Africa,Eastern Africa,null,null,8.38,7.89,9.72,5.07,5.43,null
Cambodia,Asia,SouthEastern Asia,10.9,14.41,18.64,23.63,25.82,19.47,23.81,45.52
Cameroon,Africa,Middle Africa,null,null,9.01,10.27,16.6,6.79,9.83,9.94
Canada,Northern America,Northern America,63.72,80.14,116.86,140.4,176.46,111.76,153.39,188.2
Cape Verde,Africa,Western Africa,null,null,25.9,20.85,23.78,14.11,17.39,10.7
Chile,Latin America and the Caribbean,South America,31,51.6,85.05,128.95,209.83,211.43,240.43,265.62
China,Asia,Eastern Asia,57.03,77.33,91.88,139.76,193.15,178.73,200.53,189.49
Colombia,Latin America and the Caribbean,South America,10.63,14.93,23.28,36.63,68.44,84.66,99.19,144.98
Congo,Africa,Middle Africa,null,null,17.85,16.2,24.12,27.94,43.73,35.94
