Residence Country,Occupation,Occupation_Text,Internet_Usage_Freq,Internet_Quality,Internet_Usage_Purpose,Internet_Usage_Purpose_Text,Internet_Access_Job_Opportunities,Online_Networking,Internet_Use_Entrepreneurship,Job_Dependence_Internet,Internet_Job_Search,Job_Finding_Internet_Value,Online_Banking,Internet_Reliance_Finance
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,"Yes, regularly",Yes,Very essential,Yes,Extremely important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Poor,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Significantly,Rarely,No,Very essential,Yes,Extremely important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,Occasionally,Yes,I could not work without it,Yes,Very important,Yes,Rely on it to some extent
Netherlands,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Significantly,"Yes, regularly",Yes,I could not work without it,Yes,Extremely important,Yes,Heavily rely on it
United Kingdom,Student,,Daily,Good,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Slightly,Occasionally,Yes,Very essential,Yes,Very important,Yes,Rely on it to some extent
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Moderately,Rarely,No,Very essential,Yes,Very important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Significantly,Rarely,Yes,I could not work without it,Yes,Extremely important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Good,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Significantly,Occasionally,No,I could not work without it,Yes,Extremely important,Yes,Rely on it to some extent
Netherlands,Employed full-time,,Daily,Excellent,"Online banking or financial services,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Slightly,Occasionally,Yes,Very essential,Yes,Very important,Yes,Rely on it to some extent
Netherlands,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Significantly,"Yes, regularly",No,Very essential,Yes,Extremely important,Yes,Heavily rely on it
China,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online)",,Moderately,Occasionally,Yes,Very essential,Yes,Extremely important,Yes,Rely on it to some extent
Netherlands,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,"Yes, regularly",Yes,I could not work without it,Yes,Extremely important,Yes,Heavily rely on it
Romania,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Searching or applying for jobs",,Significantly,Rarely,No,Very essential,Yes,Very important,Yes,Heavily rely on it
Netherlands,Employed full-time,,Daily,Good,"Social media or online communities,Communication (e.g., video calls, emails, messaging apps),Using internet as a part of your job",,Significantly,Rarely,No,Very essential,Yes,Extremely important,Yes,Heavily rely on it
Belgium,Unemployed,,Daily,Average,"Social media or online communities,Communication (e.g., video calls, emails, messaging apps)",,,"Yes, regularly",Yes,Somewhat essential,Yes,Moderately important,Yes,Rarely rely on it
Belgium,Employed full-time,,Daily,Good,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,"Yes, regularly",No,Very essential,Yes,Very important,Yes,Heavily rely on it
Netherlands,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,"Yes, regularly",Yes,I could not work without it,Yes,Extremely important,Yes,Heavily rely on it
